"","sex","sat_v","sat_m","hs_gpa","fy_gpa","sat_sum"
"1","1",49,54,3.4,2.55,103
"2","2",39,53,3.2,2.24,92
"3","1",55,65,2.3,2.02,120
"4","1",47,43,3,2.31,90
"5","2",39,52,2.7,2.16,91
"6","1",49,54,3.2,2.27,103
"7","2",54,57,3.5,3.47,111
"8","2",62,52,3.2,3.13,114
"9","1",61,45,2.2,1.18,106
"10","2",48,52,3.25,2.35,100
"11","1",54,63,4,3.61,117
"12","1",24,58,3,3.17,82
"13","2",44,54,3.3,3.4,98
"14","2",40,57,3.4,3,97
"15","1",40,58,2.9,3.11,98
"16","1",36,45,3,2.59,81
"17","2",40,47,2.75,2.16,87
"18","2",62,56,3.7,2.9,118
"19","2",49,52,3.9,2.67,101
"20","1",45,43,2.4,2.06,88
"21","1",49,47,2.3,2.03,96
"22","1",47,61,3.2,2.59,108
"23","2",44,59,2.7,2.21,103
"24","2",38,45,3.1,2.02,83
"25","2",57,66,3.75,3.25,123
"26","2",64,57,4,2.65,121
"27","1",49,55,3.4,3.04,104
"28","2",50,52,3.2,2.24,102
"29","1",44,39,2.75,1.54,83
"30","2",62,49,2.8,2.83,111
"31","1",67,67,3.3,2.43,134
"32","2",62,64,4,3.38,126
"33","2",50,52,2.8,1.83,102
"34","2",59,56,3.25,2.74,115
"35","2",45,48,3.4,2.52,93
"36","2",35,42,2.7,2.23,77
"37","1",52,64,3.1,2.49,116
"38","2",48,36,2.75,2.4,84
"39","1",44,58,3.5,2.38,102
"40","2",34,50,3,2.88,84
"41","1",58,70,4,3.63,128
"42","2",57,66,3.9,1.94,123
"43","1",36,50,3.3,2.19,86
"44","2",50,52,2.8,2.37,102
"45","2",52,52,2.8,2.15,104
"46","1",64,59,3.8,3.7,123
"47","2",49,44,3.7,2.37,93
"48","2",50,58,3.7,2.38,108
"49","1",57,66,4,3.31,123
"50","2",62,56,3.75,3.63,118
"51","2",64,68,4,3.82,132
"52","2",50,42,2.4,0.87,92
"53","1",40,50,2.7,1.63,90
"54","1",43,52,2.7,3.4,95
"55","1",59,48,2.5,0.8,107
"56","1",52,64,3,2.48,116
"57","2",44,56,2.6,2.67,100
"58","2",65,57,3.7,2.9,122
"59","1",59,66,4,3.09,125
"60","2",62,48,3.2,3.13,110
"61","1",36,56,3,3.14,92
"62","1",46,57,2.5,2.64,103
"63","2",42,44,2.9,1.63,86
"64","1",50,60,3.5,2.23,110
"65","1",41,56,3.5,2.34,97
"66","1",50,58,3.2,2.65,108
"67","1",50,65,3.75,2.44,115
"68","1",41,37,2.9,1.7,78
"69","1",54,47,2.7,1.52,101
"70","2",51,51,3.25,3.06,102
"71","1",50,53,3.5,2.61,103
"72","2",50,52,3.4,2.57,102
"73","2",62,57,3.8,3.79,119
"74","2",62,51,2.8,2.96,113
"75","1",47,59,2.75,1.4,106
"76","2",50,58,3,1.88,108
"77","1",56,67,3,2.95,123
"78","1",58,60,3.75,3.18,118
"79","1",50,58,4,3.61,108
"80","1",44,44,2.6,1.66,88
"81","2",42,35,2.8,1.43,77
"82","2",54,61,3.25,0.66,115
"83","1",39,56,3,1.79,95
"84","1",57,59,3.3,2.43,116
"85","1",47,60,3.5,1.4,107
"86","1",55,57,3.7,1.82,112
"87","2",62,56,4,3.69,118
"88","1",54,64,4,3.61,118
"89","1",42,50,3,2.36,92
"90","2",63,63,3.75,3.24,126
"91","1",55,70,3.5,3.65,125
"92","2",43,49,2.8,2.28,92
"93","2",67,52,3.4,2.71,119
"94","2",34,40,2.6,2.12,74
"95","2",58,51,3.8,3.63,109
"96","2",45,58,3.8,3.51,103
